rank,requested,taxonomy_status,scientific,model_scientific,model_common,key,note,asset_status,plate,historical_title,match_basis,source_page,institution_record,license_status,crop_status,source_local,source_download,source_sha256,artwork_status,shipped_source_page
328,Connecticut Warbler,exact common name,Oporornis agilis,Oporornis agilis,Connecticut Warbler,oporornis-agilis,,source downloaded - NOT a finished asset,138,Connecticut Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/connecticut-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0138,unverified - check exact scan,not reviewed,sources/138.jpg,https://media.audubon.org/boa_illustration/plate-138-connecticut-warbler.jpg,2884994b1dc9d17881333d9fd3f03b98a3790850669c9c071b4b1c507dc257a9,present,https://commons.wikimedia.org/wiki/File:138_Connecticut_Warbler.jpg
329,Mourning Warbler,exact common name,Geothlypis philadelphia,Geothlypis philadelphia,Mourning Warbler,geothlypis-philadelphia,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:399_I._Mourning_Warbler_(cropped).jpg
330,MacGillivray's Warbler,exact common name,Geothlypis tolmiei,Geothlypis tolmiei,MacGillivray's Warbler,geothlypis-tolmiei,,needs source,,,,,,,,,,,missing,
331,Hooded Warbler,exact common name,Setophaga citrina,Setophaga citrina,Hooded Warbler,setophaga-citrina,,source downloaded - NOT a finished asset,110,Hooded Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/hooded-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0110,unverified - check exact scan,not reviewed,sources/110.jpg,https://media.audubon.org/boa_illustration/plate-110-hooded-warbler.jpg,997841e96bf635247f5593e6703a686e3e8bda5e10e6f3c60756c33079c92150,present,https://commons.wikimedia.org/wiki/File:110_Hooded_Warbler.jpg
332,Wilson's Warbler,exact common name,Cardellina pusilla,Cardellina pusilla,Wilson's Warbler,cardellina-pusilla,,needs source,,,,,,,,,,,missing,
333,Canada Warbler,exact common name,Cardellina canadensis,Cardellina canadensis,Canada Warbler,cardellina-canadensis,,source downloaded - NOT a finished asset,103,Canada Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/canada-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0103,unverified - check exact scan,not reviewed,sources/103.jpg,https://media.audubon.org/boa_illustration/plate-103-canada-warbler.jpg,341597f4ca8db4ee2bf2740eb79b95585ab83d9b6c346e1acd9afaa4e5819521,present,https://commons.wikimedia.org/wiki/File:103_Canada_Warbler.jpg
334,Yellow-breasted Chat,exact common name,Icteria virens,Icteria virens,Yellow-breasted Chat,icteria-virens,,source downloaded - NOT a finished asset,137,Yellow-breasted Chat,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/yellow-breasted-chat,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0137,unverified - check exact scan,not reviewed,sources/137.jpg,https://media.audubon.org/boa_illustration/plate-137-yellow-breasted-chat.jpg,b1de508356f4536cdae3fcd558e9d993e11ab5372101f5b46cf3f2e73dec97cf,present,https://commons.wikimedia.org/wiki/File:137_Yellow-breasted_Chat.jpg
335,Hepatic Tanager,exact common name,Piranga flava,Piranga flava,Hepatic Tanager,piranga-flava,,needs source,,,,,,,,,,,missing,
336,Scarlet Tanager,exact common name,Piranga olivacea,Piranga olivacea,Scarlet Tanager,piranga-olivacea,,source downloaded - NOT a finished asset,354,Louisiana Tanager and Scarlet Tanager,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/louisiana-tanager,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0354,unverified - check exact scan,not reviewed,sources/354.jpg,https://media.audubon.org/boa_illustration/plate-354-louisiana-tanager.jpg,002f9dd561e57b2111349d0a9e03c8ea2e4f3900bd39e772241293999043e860,present,https://commons.wikimedia.org/wiki/File:354_I._Louisiana_Tanager_-_2._Scarlet_Tanager.jpg
337,Western Tanager,exact common name,Piranga ludoviciana,Piranga ludoviciana,Western Tanager,piranga-ludoviciana,,needs source,,,,,,,,,,,missing,
338,Green-tailed Towhee,exact common name,Pipilo chlorurus,Pipilo chlorurus,Green-tailed Towhee,pipilo-chlorurus,,needs source,,,,,,,,,,,missing,
339,Eastern Towhee,exact common name,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Eastern Towhee,pipilo-erythrophthalmus,,source downloaded - NOT a finished asset,29,Towee Bunting,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/towee-bunting,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0029,unverified - check exact scan,not reviewed,sources/029.jpg,https://media.audubon.org/boa_illustration/plate-29-towee-bunting.jpg,cfcab24fa05f4cc56bcabed8f5e2fb81735b3111c3e822fa364099b6b8764828,present,https://commons.wikimedia.org/wiki/File:29_Towhe_Bunting.jpg
340,Spotted Towhee,exact common name,Pipilo maculatus,Pipilo maculatus,Spotted Towhee,pipilo-maculatus,,needs source,,,,,,,,,,,missing,
341,Bachman's Sparrow,exact common name,Peucaea aestivalis,Peucaea aestivalis,Bachman's Sparrow,peucaea-aestivalis,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:165_Bachmans_Finch.jpg
342,Cassin's Sparrow,exact common name,Peucaea cassinii,Peucaea cassinii,Cassin's Sparrow,peucaea-cassinii,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Peucaea_cassinii.png
343,Rufous-crowned Sparrow,exact common name,Aimophila ruficeps,Aimophila ruficeps,Rufous-crowned Sparrow,aimophila-ruficeps,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:Illustrations_of_the_birds_of_California,_Texas,_Oregon,_British_and_Russian_America_(Plate_20)_(6306010855).jpg"
344,Clay-colored Sparrow,exact common name,Spizella pallida,Spizella pallida,Clay-colored Sparrow,spizella-pallida,,needs source,,,,,,,,,,,missing,
345,Brewer's Sparrow,exact common name,Spizella breweri,Spizella breweri,Brewer's Sparrow,spizella-breweri,,needs source,,,,,,,,,,,missing,
346,Field Sparrow,exact common name,Spizella pusilla,Spizella pusilla,Field Sparrow,spizella-pusilla,,source downloaded - NOT a finished asset,139,Field Sparrow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/field-sparrow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0139,unverified - check exact scan,not reviewed,sources/139.jpg,https://media.audubon.org/boa_illustration/plate-139-field-sparrow.jpg,c1561b1f5d2e2e6346b03201b573957c8baaa00fda05ca2e35e9a7a35978fb00,present,https://commons.wikimedia.org/wiki/File:139_Field_Sparrow.jpg
347,Vesper Sparrow,exact common name,Pooecetes gramineus,Pooecetes gramineus,Vesper Sparrow,pooecetes-gramineus,,needs source,,,,,,,,,,,missing,
348,Black-throated Sparrow,exact common name,Amphispiza bilineata,Amphispiza bilineata,Black-throated Sparrow,amphispiza-bilineata,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:Illustrations_of_the_birds_of_California,_Texas,_Oregon,_British_and_Russian_America_(Plate_23)_(6306535412).jpg"
349,Lark Bunting,exact common name,Calamospiza melanocorys,Calamospiza melanocorys,Lark Bunting,calamospiza-melanocorys,,needs source,,,,,,,,,,,missing,
350,Grasshopper Sparrow,exact common name,Ammodramus savannarum,Ammodramus savannarum,Grasshopper Sparrow,ammodramus-savannarum,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:130_Yellow-winged_Sparrow.jpg
351,Henslow's Sparrow,exact common name,Centronyx henslowii,Centronyx henslowii,Henslow's Sparrow,centronyx-henslowii,,needs source,,,,,,,,,,,missing,
352,LeConte's Sparrow,exact common name,Ammospiza leconteii,Ammospiza leconteii,LeConte's Sparrow,ammospiza-leconteii,,needs source,,,,,,,,,,,missing,
353,Nelson's Sparrow,exact common name,Ammospiza nelsoni,Ammospiza nelsoni,Nelson's Sparrow,ammospiza-nelsoni,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Birds_of_New_York_(Plate_81)_(6901492502).jpg
354,Fox Sparrow,exact common name,Passerella iliaca,Passerella iliaca,Fox Sparrow,passerella-iliaca,,needs source,,,,,,,,,,,missing,
355,Song Sparrow,exact common name,Melospiza melodia,Melospiza melodia,Song Sparrow,melospiza-melodia,,source downloaded - NOT a finished asset,25,Song Sparrow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/song-sparrow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0025,unverified - check exact scan,not reviewed,sources/025.jpg,https://media.audubon.org/boa_illustration/plate-25-song-sparrow.jpg,96c590ca7261679accb6a0893b9d7da92279cd367ec9f9e1580cb67359be4331,missing,
356,Swamp Sparrow,exact common name,Melospiza georgiana,Melospiza georgiana,Swamp Sparrow,melospiza-georgiana,,source downloaded - NOT a finished asset,64,Swamp Sparrow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/swamp-sparrow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0064,unverified - check exact scan,not reviewed,sources/064.jpg,https://media.audubon.org/boa_illustration/plate-64-swamp-sparrow.jpg,90b22f0aba3079ef727d7e44bd3b6a2ffc7ee9016f0a9ca40d851e8a11db8afd,missing,
357,Harris's Sparrow,exact common name,Zonotrichia querula,Zonotrichia querula,Harris's Sparrow,zonotrichia-querula,,needs source,,,,,,,,,,,missing,
358,White-crowned Sparrow,exact common name,Zonotrichia leucophrys,Zonotrichia leucophrys,White-crowned Sparrow,zonotrichia-leucophrys,,source downloaded - NOT a finished asset,114,White-crowned Sparrow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/white-crowned-sparrow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0114,unverified - check exact scan,not reviewed,sources/114.jpg,https://media.audubon.org/boa_illustration/plate-114-white-crowned-sparrow.jpg,5c82ddb20f4c9c276c29807733d4c04a05437e3e15208385900c94e6a9d89699,missing,
359,Dark-eyed Junco,exact common name,Junco hyemalis,Junco hyemalis,Dark-eyed Junco,junco-hyemalis,,needs source,,,,,,,,,,,missing,
360,McCown's Longspur,explicit spelling/common-name alternative,Rhynchophanes mccownii,Rhynchophanes mccownii,Thick-billed Longspur,rhynchophanes-mccownii,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:Illustrations_of_the_birds_of_California,_Texas,_Oregon,_British_and_Russian_America_(Plate_39)_(6306540062).jpg"
361,Lapland Longspur,exact common name,Calcarius lapponicus,Calcarius lapponicus,Lapland Longspur,calcarius-lapponicus,,existing upstream,366,Lapland Long-spur,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/iceland-or-jer-falcon,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0366,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIILark-heeled_Bunting.jpg
362,Smith's Longspur,exact common name,Calcarius pictus,Calcarius pictus,Smith's Longspur,calcarius-pictus,,needs source,,,,,,,,,,,missing,
363,Pyrrhuloxia,exact common name,Cardinalis sinuatus,Cardinalis sinuatus,Pyrrhuloxia,cardinalis-sinuatus,,needs source,,,,,,,,,,,missing,
364,Rose-breasted Grosbeak,exact common name,Pheucticus ludovicianus,Pheucticus ludovicianus,Rose-breasted Grosbeak,pheucticus-ludovicianus,,source downloaded - NOT a finished asset,127,Rose-breasted Grosbeak,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/rose-breasted-grosbeak,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0127,unverified - check exact scan,not reviewed,sources/127.jpg,https://media.audubon.org/boa_illustration/plate-127-rose-breasted-grosbeak.jpg,91af1446f268e644c71abeedb4e471c47dd61dbfd6c34d3d5bdfe3c2d4cfd820,present,https://media.audubon.org/boa_illustration/plate-127-rose-breasted-grosbeak.jpg
365,Black-headed Grosbeak,exact common name,Pheucticus melanocephalus,Pheucticus melanocephalus,Black-headed Grosbeak,pheucticus-melanocephalus,,needs source,,,,,,,,,,,missing,
366,Lazuli Bunting,exact common name,Passerina amoena,Passerina amoena,Lazuli Bunting,passerina-amoena,,needs source,,,,,,,,,,,missing,
367,Bobolink,exact common name,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Bobolink,dolichonyx-oryzivorus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:54_Rice_Bird.jpg
368,Western Meadowlark,exact common name,Sturnella neglecta,Sturnella neglecta,Western Meadowlark,sturnella-neglecta,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_birds_of_America_(Pl._489)_(8595336900).jpg
369,Yellow-headed Blackbird,exact common name,Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,xanthocephalus-xanthocephalus,,needs source,,,,,,,,,,,missing,
370,Rusty Blackbird,exact common name,Euphagus carolinus,Euphagus carolinus,Rusty Blackbird,euphagus-carolinus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:157_Rusty_Grakle.jpg
371,Brewer's Blackbird,exact common name,Euphagus cyanocephalus,Euphagus cyanocephalus,Brewer's Blackbird,euphagus-cyanocephalus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_birds_of_America_(Pl._492)_(8594237959).jpg
372,Shiny Cowbird,exact common name,Molothrus bonariensis,Molothrus bonariensis,Shiny Cowbird,molothrus-bonariensis,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Molothrus_bonariensis_-_1700-1880_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ15800297.tif
373,Bronzed Cowbird,exact common name,Molothrus aeneus,Molothrus aeneus,Bronzed Cowbird,molothrus-aeneus,,needs source,,,,,,,,,,,missing,
374,Hooded Oriole,exact common name,Icterus cucullatus,Icterus cucullatus,Hooded Oriole,icterus-cucullatus,,needs source,,,,,,,,,,,missing,
375,Bullock's Oriole,exact common name,Icterus bullockii,Icterus bullockii,Bullock's Oriole,icterus-bullockii,,needs source,,,,,,,,,,,missing,
376,Purple Finch,exact common name,Haemorhous purpureus,Haemorhous purpureus,Purple Finch,haemorhous-purpureus,,source downloaded - NOT a finished asset,4,Purple Finch,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/purple-finch,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0004,unverified - check exact scan,not reviewed,sources/004.jpg,https://media.audubon.org/boa_illustration/plate-4-purple-finch.jpg,163f48a0469d482ac0011f47a0ea6b6fa44187a8fea273dc7fd7625f1c172c76,missing,
377,Red Crossbill,exact common name,Loxia curvirostra,Loxia curvirostra,Red Crossbill,loxia-curvirostra,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00143.jpg
378,Pine Siskin,exact common name,Spinus pinus,Spinus pinus,Pine Siskin,spinus-pinus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:180_Pine_Finch.jpg
379,Evening Grosbeak,exact common name,Hesperiphona vespertina,Coccothraustes vespertinus,Evening Grosbeak,hesperiphona-vespertina,,needs source,,,,,,,,,,,missing,
380,Red-throated Loon,exact common name,Gavia stellata,Gavia stellata,Red-throated Loon,gavia-stellata,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRed-throated_Diver.jpg
381,Red-necked Grebe,exact common name,Podiceps grisegena,Podiceps grisegena,Red-necked Grebe,podiceps-grisegena,,existing upstream,298,Red-necked Grebe,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/red-necked-grebe,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0298,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRed-necked_Grebe.jpg
382,Blue-footed Booby,exact common name,Sula nebouxii,Sula nebouxii,Blue-footed Booby,sula-nebouxii,,needs source,,,,,,,,,,,missing,
383,Brant,exact common name,Branta bernicla,Branta bernicla,Brant,branta-bernicla,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVBrent_Goose.jpg
384,Tundra Swan,exact common name,Cygnus columbianus,Cygnus columbianus,Tundra Swan,cygnus-columbianus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVBewicks_Swan.jpg
385,Eurasian Wigeon,exact common name,Mareca penelope,Mareca penelope,Eurasian Wigeon,mareca-penelope,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVWidgeon.jpg
386,American Black Duck,exact common name,Anas rubripes,Anas rubripes,American Black Duck,anas-rubripes,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:302_Dusky_Duck.jpg
387,Masked Duck,unresolved,,,,,,taxonomy review,,,,,,,,,,,taxonomy-review,
388,Northern Goshawk,exact common name,Astur gentilis,Accipiter gentilis,Northern Goshawk,astur-gentilis,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIGoshawk.jpg
389,Harris's Hawk,exact common name,Parabuteo unicinctus,Parabuteo unicinctus,Harris's Hawk,parabuteo-unicinctus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:392_Louisiana_Hawk.jpg
390,Ring-necked Pheasant,exact common name,Phasianus colchicus,Phasianus colchicus,Ring-necked Pheasant,phasianus-colchicus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVCommon_Pheasant.jpg
391,Scaled Quail,exact common name,Callipepla squamata,Callipepla squamata,Scaled Quail,callipepla-squamata,,needs source,,,,,,,,,,,missing,
392,Yellow Rail,exact common name,Coturnicops noveboracensis,Coturnicops noveboracensis,Yellow Rail,coturnicops-noveboracensis,,needs source,,,,,,,,,,,missing,
393,Black Rail,exact common name,Laterallus jamaicensis,Laterallus jamaicensis,Black Rail,laterallus-jamaicensis,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:349_Least_Water-hen.jpg
394,King Rail,exact common name,Rallus elegans,Rallus elegans,King Rail,rallus-elegans,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:203_Fresh_Water_Marsh_Hen.jpg
395,Virginia Rail,exact common name,Rallus limicola,Rallus limicola,Virginia Rail,rallus-limicola,,source downloaded - NOT a finished asset,205,Virginia Rail,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/virginia-rail,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0205,unverified - check exact scan,not reviewed,sources/205.jpg,https://media.audubon.org/boa_illustration/plate-205-virginia-rail.jpg,6069d6018bdb061f2374efbd5e5c3280499fbb0f46e5fbc03bf072934a0e9b3d,present,https://commons.wikimedia.org/wiki/File:205_Virginia_Rail.jpg
396,Paint-billed Crake,exact common name,Mustelirallus erythrops,Mustelirallus erythrops,Paint-billed Crake,mustelirallus-erythrops,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:PorzanaErythropsSmit.jpg
397,Purple Gallinule,exact common name,Porphyrio martinica,Porphyrio martinica,Purple Gallinule,porphyrio-martinica,,source downloaded - NOT a finished asset,305,Purple Gallinule,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/purple-gallinule,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0305,unverified - check exact scan,not reviewed,sources/305.jpg,https://media.audubon.org/boa_illustration/plate-305-purple-gallinule.jpg,60038fda46bace222f9671457229f4fc8a5117efec7aeef8c20f5d8e02340976,present,https://commons.wikimedia.org/wiki/File:305_Purple_Gallinule.jpg
398,Whooping Crane,exact common name,Grus americana,Grus americana,Whooping Crane,grus-americana,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:226_Hooping_Crane.jpg
399,Mountain Plover,exact common name,Anarhynchus montanus,Charadrius montanus,Mountain Plover,anarhynchus-montanus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:350_Rocky_Mountain_Plover.jpg
400,Northern Jacana,exact common name,Jacana spinosa,Jacana spinosa,Northern Jacana,jacana-spinosa,,needs source,,,,,,,,,,,missing,
401,Spotted Redshank,exact common name,Tringa erythropus,Tringa erythropus,Spotted Redshank,tringa-erythropus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVSpotted_Redshank.jpg
402,Sharp-tailed Sandpiper,exact common name,Calidris acuminata,Calidris acuminata,Sharp-tailed Sandpiper,calidris-acuminata,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:TringaAcuminataKeulemans.jpg
403,Curlew Sandpiper,exact common name,Calidris ferruginea,Calidris ferruginea,Curlew Sandpiper,calidris-ferruginea,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVPygmy_Curlew.jpg
404,Pomarine Jaeger,exact common name,Stercorarius pomarinus,Stercorarius pomarinus,Pomarine Jaeger,stercorarius-pomarinus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVPomarine_Gull.jpg
405,Black-headed Gull,exact common name,Chroicocephalus ridibundus,Chroicocephalus ridibundus,Black-headed Gull,chroicocephalus-ridibundus,,existing upstream,314,Black-headed Gull,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/black-headed-gull,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0314,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVLaughing_Gull.jpg
406,Mew Gull,unresolved,,,,,Historical broad name; do not silently substitute Common Gull for Short-billed Gull.,taxonomy review,,,,,,,,,,,taxonomy-review,
407,Thayer's Gull,unresolved,,,,,Historical split/lump; require an explicit taxonomy decision.,taxonomy review,,,,,,,,,,,taxonomy-review,
408,Roseate Tern,exact common name,Sterna dougallii,Sterna dougallii,Roseate Tern,sterna-dougallii,,existing upstream,240,Roseate Tern,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/roseate-tern,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0240,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRoseate_Tern.jpg
409,Sooty Tern,exact common name,Onychoprion fuscatus,Onychoprion fuscatus,Sooty Tern,onychoprion-fuscatus,,source downloaded - NOT a finished asset,235,Sooty Tern,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/sooty-tern,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0235,unverified - check exact scan,not reviewed,sources/235.jpg,https://media.audubon.org/boa_illustration/plate-235-sooty-tern.jpg,0cbafb374d3773081117bfc984abea06b2bad8053d120f7a826889e156d56d5a,missing,
410,White-tipped Dove,exact common name,Leptotila verreauxi,Leptotila verreauxi,White-tipped Dove,leptotila-verreauxi,,needs source,,,,,,,,,,,missing,
411,Snowy Owl,exact common name,Bubo scandiacus,Bubo scandiacus,Snowy Owl,bubo-scandiacus,,existing upstream,121,Snowy Owl,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/snowy-owl,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0121,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeISnowy_Owl.jpg
412,Northern Saw-whet Owl,exact common name,Aegolius acadicus,Aegolius acadicus,Northern Saw-whet Owl,aegolius-acadicus,,needs source,,,,,,,,,,,missing,
413,Lesser Nighthawk,exact common name,Chordeiles acutipennis,Chordeiles acutipennis,Lesser Nighthawk,chordeiles-acutipennis,,needs source,,,,,,,,,,,missing,
414,Common Pauraque,exact common name,Nyctidromus albicollis,Nyctidromus albicollis,Common Pauraque,nyctidromus-albicollis,,needs source,,,,,,,,,,,missing,
415,Common Poorwill,exact common name,Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,Common Poorwill,phalaenoptilus-nuttallii,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Handbook_of_birds_of_the_western_United_States_(Pl._XVIII)_(8456332838).jpg
416,White-throated Swift,exact common name,Aeronautes saxatalis,Aeronautes saxatalis,White-throated Swift,aeronautes-saxatalis,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:MicropusMelanoleucusKeulemans.jpg
417,Mexican Violetear,exact common name,Colibri thalassinus,Colibri thalassinus,Mexican Violetear,colibri-thalassinus,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:A_monograph_of_the_Trochilid%C3%A6,_or_family_of_humming-birds_(Plate_227)_(8549318362).jpg"
418,Broad-billed Hummingbird,exact common name,Cynanthus latirostris,Cynanthus latirostris,Broad-billed Hummingbird,cynanthus-latirostris,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:A_monograph_of_the_Trochilid%C3%A6,_or_family_of_humming-birds_(Plate_339)_(8551730692).jpg"
419,Blue-throated Mountain-gem,exact common name,Lampornis clemenciae,Lampornis clemenciae,Blue-throated Mountain-gem,lampornis-clemenciae,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:A_monograph_of_the_Trochilid%C3%A6,_or_family_of_humming-birds_(Plate_60)_(7175937338).jpg"
420,Anna's Hummingbird,exact common name,Calypte anna,Calypte anna,Anna's Hummingbird,calypte-anna,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:425_Columbian_Humming_Bird.jpg
421,Calliope Hummingbird,exact common name,Selasphorus calliope,Selasphorus calliope,Calliope Hummingbird,selasphorus-calliope,,needs source,,,,,,,,,,,missing,
422,Broad-tailed Hummingbird,exact common name,Selasphorus platycercus,Selasphorus platycercus,Broad-tailed Hummingbird,selasphorus-platycercus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:MonographTrochi3Goul_0104.jpg
423,Allen's Hummingbird,exact common name,Selasphorus sasin,Selasphorus sasin,Allen's Hummingbird,selasphorus-sasin,,needs source,,,,,,,,,,,missing,
424,Ringed Kingfisher,exact common name,Megaceryle torquata,Megaceryle torquata,Ringed Kingfisher,megaceryle-torquata,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Planches_enlumin%C3%A9es_d%27histoire_naturelle_(9932716675).jpg
425,Lewis's Woodpecker,exact common name,Melanerpes lewis,Melanerpes lewis,Lewis's Woodpecker,melanerpes-lewis,,needs source,,,,,,,,,,,missing,
426,Red-naped Sapsucker,exact common name,Sphyrapicus nuchalis,Sphyrapicus nuchalis,Red-naped Sapsucker,sphyrapicus-nuchalis,,needs source,,,,,,,,,,,missing,
427,Williamson's Sapsucker,exact common name,Sphyrapicus thyroideus,Sphyrapicus thyroideus,Williamson's Sapsucker,sphyrapicus-thyroideus,,needs source,,,,,,,,,,,missing,
428,Hammond's Flycatcher,exact common name,Empidonax hammondii,Empidonax hammondii,Hammond's Flycatcher,empidonax-hammondii,,needs source,,,,,,,,,,,missing,
429,Brown-crested Flycatcher,exact common name,Myiarchus tyrannulus,Myiarchus tyrannulus,Brown-crested Flycatcher,myiarchus-tyrannulus,,needs source,,,,,,,,,,,missing,
